from,to,from_stop_lat,from_stop_lon,to_stop_lat,to_stop_lon,beeline,duration,walk_distance
4074101,4074102,51.877216,7.566356,51.8766251501,7.5665211072,66.7446645184898,0.28,80
4074101,4074301,51.877216,7.566356,51.8775571609,7.5597215387,457.516986017778,6.44,520
4074101,4074601,51.877216,7.566356,51.8845270602,7.5706301711,865.239399001579,11.78,940
4074101,4074602,51.877216,7.566356,51.8849168205,7.5713973253,924.60279098333,12.08,940
4074101,4074804,51.877216,7.566356,51.8888161068,7.5789802255,1555.6325358585,23.17,1760
4074101,4074803,51.877216,7.566356,51.8892332551,7.5788168278,1588.30669328092,21.77,1750
4074102,4074101,51.8766251501,7.5665211072,51.877216,7.566356,66.7446645184898,0.28,80
4074102,4074301,51.8766251501,7.5665211072,51.8775571609,7.5597215387,478.666956641829,6.6,560
4074102,4760002,51.8766251501,7.5665211072,51.8844595298,7.599739903,2443.6496962186,44.85,3410
4074102,4764103,51.8766251501,7.5665211072,51.8831409324,7.6052083108,2755.71205027845,48.18,3660
4074102,4764102,51.8766251501,7.5665211072,51.8832436747,7.6062372626,2826.94470262424,48.96,3720
4074301,4074101,51.8775571609,7.5597215387,51.877216,7.566356,457.516986017778,6.44,520
4074301,4074102,51.8775571609,7.5597215387,51.8766251501,7.5665211072,478.666956641829,6.6,560
4074601,4074602,51.8845270602,7.5706301711,51.8849168205,7.5713973253,68.272232577836,0.8,80
4074601,4074804,51.8845270602,7.5706301711,51.8888161068,7.5789802255,746.40274036921,11.88,900
4074601,4074803,51.8845270602,7.5706301711,51.8892332551,7.5788168278,768.672425757674,10.48,890
4074601,4074101,51.8845270602,7.5706301711,51.877216,7.566356,865.239399001579,11.78,940
4074601,4074102,51.8845270602,7.5706301711,51.8766251501,7.5665211072,923.84579658236,12.7,1000
4074601,4074301,51.8845270602,7.5706301711,51.8775571609,7.5597215387,1078.84802716463,18.95,1380
4074602,4074601,51.8849168205,7.5713973253,51.8845270602,7.5706301711,68.272232577836,0.83,80
4074602,4074804,51.8849168205,7.5713973253,51.8888161068,7.5789802255,678.13162500507,11.82,870
4074602,4074803,51.8849168205,7.5713973253,51.8892332551,7.5788168278,700.540731867589,10.42,860
4074602,4074101,51.8849168205,7.5713973253,51.877216,7.566356,924.60279098333,12.12,940
4074602,4074102,51.8849168205,7.5713973253,51.8766251501,7.5665211072,981.964331948672,13.04,1000
4074602,4074301,51.8849168205,7.5713973253,51.8775571609,7.5597215387,1146.70437271912,19.29,1380
4074803,4074804,51.8892332551,7.5788168278,51.8888161068,7.5789802255,47.7744550129722,1.87,210
4074803,4786501,51.8892332551,7.5788168278,51.8882400492,7.5805478798,162.385832687179,1.48,230
4074803,4786502,51.8892332551,7.5788168278,51.8881861365,7.5808180764,180.2571263184,1.69,240
4074803,4786302,51.8892332551,7.5788168278,51.891584,7.583161,396.93171407186,4.46,530
4074803,4074602,51.8892332551,7.5788168278,51.8849168205,7.5713973253,700.540731867589,10.39,860
4074803,4074601,51.8892332551,7.5788168278,51.8845270602,7.5706301711,768.672425757674,10.48,890
4074803,4074101,51.8892332551,7.5788168278,51.877216,7.566356,1588.30669328092,21.77,1750
4074803,4074102,51.8892332551,7.5788168278,51.8766251501,7.5665211072,1638.2096389904,22.69,1810
4074803,4074301,51.8892332551,7.5788168278,51.8775571609,7.5597215387,1846.89938604611,28.94,2190
4074804,4074803,51.8888161068,7.5789802255,51.8892332551,7.5788168278,47.7744550129722,1.87,210
4074804,4786501,51.8888161068,7.5789802255,51.8882400492,7.5805478798,125.351257070172,2.39,180
4074804,4786502,51.8888161068,7.5789802255,51.8881861365,7.5808180764,144.437721177306,2.61,200
4074804,4074602,51.8888161068,7.5789802255,51.8849168205,7.5713973253,678.13162500507,11.79,870
4074804,4074601,51.8888161068,7.5789802255,51.8845270602,7.5706301711,746.40274036921,11.88,900
4074804,4074101,51.8888161068,7.5789802255,51.877216,7.566356,1555.6325358585,23.17,1760
4074804,4074102,51.8888161068,7.5789802255,51.8766251501,7.5665211072,1604.56909775869,24.09,1820
4074804,4074301,51.8888161068,7.5789802255,51.8775571609,7.5597215387,1822.6587370008,30.34,2210
4100001,4100006,51.9566004896,7.6341548486,51.9564909139,7.6335515756,43.1456793597811,1.06,90
4100001,4100007,51.9566004896,7.6341548486,51.95629,7.6332982581,68.1748024308471,1.11,90
4100001,4100009,51.9566004896,7.6341548486,51.9572658961,7.6341715756,74.0816003236335,1.07,90
4100001,4100002,51.9566004896,7.6341548486,51.9573506884,7.6345832344,88.53162168053,1.44,110
4100001,4100008,51.9566004896,7.6341548486,51.956073,7.632989,99.2206743029081,1.4,110
4100001,4100010,51.9566004896,7.6341548486,51.9575268071,7.6342509584,103.327759232119,1.46,120
4100001,4100003,51.9566004896,7.6341548486,51.9575918902,7.6346748694,115.98465440508,1.8,130
4100001,4100004,51.9566004896,7.6341548486,51.957914,7.634779,152.359418711699,2.34,170
4100002,4100003,51.9573506884,7.6345832344,51.9575918902,7.6346748694,27.5765000300254,0.36,30
4100002,4100009,51.9573506884,7.6345832344,51.9572658961,7.6341715756,29.7756972489905,1.86,150
4100002,4100010,51.9573506884,7.6345832344,51.9575268071,7.6342509584,30.0657608798082,2.25,180
4100002,4100004,51.9573506884,7.6345832344,51.957914,7.634779,64.1294783101689,0.9,70
4100002,4100001,51.9573506884,7.6345832344,51.9566004896,7.6341548486,88.53162168053,1.44,110
4100002,4100006,51.9573506884,7.6345832344,51.9564909139,7.6335515756,119.034197409369,1.85,150
4100002,4100007,51.9573506884,7.6345832344,51.95629,7.6332982581,147.351149665737,2.22,180
4100003,4100002,51.9575918902,7.6346748694,51.9573506884,7.6345832344,27.5765000300254,0.36,30
4100003,4100010,51.9575918902,7.6346748694,51.9575268071,7.6342509584,29.9692475765649,2.46,190
4100003,4100004,51.9575918902,7.6346748694,51.957914,7.634779,36.561712240086,0.54,40
4100003,4100009,51.9575918902,7.6346748694,51.9572658961,7.6341715756,50.089708451093,2.22,180
4100003,4100001,51.9575918902,7.6346748694,51.9566004896,7.6341548486,115.98465440508,1.8,130
4100003,4100006,51.9575918902,7.6346748694,51.9564909139,7.6335515756,144.772451843771,2.22,180
4100003,4100007,51.9575918902,7.6346748694,51.95629,7.6332982581,172.979222718151,2.59,210
4100003,4106102,51.9575918902,7.6346748694,51.95917,7.634768,175.79050715018,2.53,200
4100003,4100008,51.9575918902,7.6346748694,51.956073,7.632989,204.851865683772,3.25,250
4100003,4106101,51.9575918902,7.6346748694,51.9593465494,7.635793,209.84798996646,3.13,270
4100003,4105102,51.9575918902,7.6346748694,51.9609258132,7.6350607325,372.073313571274,5.24,390
4100004,4100003,51.957914,7.634779,51.9575918902,7.6346748694,36.561712240086,0.54,40
4100004,4100010,51.957914,7.634779,51.9575268071,7.6342509584,56.3022130219073,1.92,150
4100004,4100002,51.957914,7.634779,51.9573506884,7.6345832344,64.1294783101689,0.9,70
4100004,4100009,51.957914,7.634779,51.9572658961,7.6341715756,83.3154532988754,2.31,180
4100004,4106102,51.957914,7.634779,51.95917,7.634768,139.819316641506,1.99,160
4100004,4100001,51.957914,7.634779,51.9566004896,7.6341548486,152.359418711699,2.34,170
4100004,4106101,51.957914,7.634779,51.9593465494,7.635793,173.980814924704,2.59,230
4100004,4100006,51.957914,7.634779,51.9564909139,7.6335515756,179.404588518786,2.75,220
4100004,4100007,51.957914,7.634779,51.95629,7.6332982581,207.366695709908,3.13,250
4100004,4100008,51.957914,7.634779,51.956073,7.632989,238.911805944501,3.78,290
4100006,4100007,51.9564909139,7.6335515756,51.95629,7.6332982581,28.323458503647,0.37,30
4100006,4100001,51.9564909139,7.6335515756,51.9566004896,7.6341548486,43.1456793597811,1.06,90
4100006,4100008,51.9564909139,7.6335515756,51.956073,7.632989,60.4464787790741,0.84,60
4100006,4100009,51.9564909139,7.6335515756,51.9572658961,7.6341715756,96.185501869797,1.36,100
4100006,4100002,51.9564909139,7.6335515756,51.9573506884,7.6345832344,119.034197409369,1.85,150
4100006,4100010,51.9564909139,7.6335515756,51.9575268071,7.6342509584,124.897921949836,1.75,130
4100006,4100004,51.9564909139,7.6335515756,51.957914,7.634779,179.404588518786,2.75,220
4100006,4343101,51.9564909139,7.6335515756,51.9543447029,7.6314535637,278.920181074045,3.79,280
4100006,4106101,51.9564909139,7.6335515756,51.9593465494,7.635793,353.121865042018,5.08,400
4100006,4343201,51.9564909139,7.6335515756,51.95477,7.62919,355.289383655354,6.53,480
4100006,4102102,51.9564909139,7.6335515756,51.9558039925,7.6282736291,370.065516863459,6.33,470
4100007,4100006,51.95629,7.6332982581,51.9564909139,7.6335515756,28.323458503647,0.37,30
4100007,4100008,51.95629,7.6332982581,51.956073,7.632989,32.1502361678021,0.47,30
4100007,4100001,51.95629,7.6332982581,51.9566004896,7.6341548486,68.1748024308471,1.11,90
4100007,4100009,51.95629,7.6332982581,51.9572658961,7.6341715756,124.060983788922,1.73,130
4100007,4100002,51.95629,7.6332982581,51.9573506884,7.6345832344,147.351149665737,2.22,180
4100007,4343102,51.95629,7.6332982581,51.9544504086,7.6316500275,233.926513040248,4.15,300
4100007,4343101,51.95629,7.6332982581,51.9543447029,7.6314535637,250.817098479134,3.42,250
4100007,4343201,51.95629,7.6332982581,51.95477,7.62919,328.731045455906,6.16,450
4100007,4102102,51.95629,7.6332982581,51.9558039925,7.6282736291,348.921507526564,5.96,440
4100007,4102101,51.95629,7.6332982581,51.9558705353,7.627781618,381.324204398667,6.56,480
4100008,4100007,51.956073,7.632989,51.95629,7.6332982581,32.1502361678021,0.47,30
4100008,4100006,51.956073,7.632989,51.9564909139,7.6335515756,60.4464787790741,0.84,60
4100008,4100001,51.956073,7.632989,51.9566004896,7.6341548486,99.2206743029081,1.4,110
4100008,4100009,51.956073,7.632989,51.9572658961,7.6341715756,155.612860784608,2.2,160
4100008,4100002,51.956073,7.632989,51.9573506884,7.6345832344,179.418237842525,2.88,220
4100008,4100010,51.956073,7.632989,51.9575268071,7.6342509584,183.537277734777,2.59,190
4100008,4343102,51.956073,7.632989,51.9544504086,7.6316500275,202.641856301474,3.69,270
4100008,4343101,51.956073,7.632989,51.9543447029,7.6314535637,219.342015201351,2.95,220
4100008,4343201,51.956073,7.632989,51.95477,7.62919,298.268733215728,5.69,420
4100008,4102102,51.956073,7.632989,51.9558039925,7.6282736291,324.869630941544,5.49,410
4100008,4102101,51.956073,7.632989,51.9558705353,7.627781618,357.949738958541,6.09,450
4100009,4100010,51.9572658961,7.6341715756,51.9575268071,7.6342509584,29.5505887917021,0.39,30
4100009,4100002,51.9572658961,7.6341715756,51.9573506884,7.6345832344,29.7756972489905,1.86,150
4100009,4100003,51.9572658961,7.6341715756,51.9575918902,7.6346748694,50.089708451093,2.22,180
4100009,4100001,51.9572658961,7.6341715756,51.9566004896,7.6341548486,74.0816003236335,1.07,90
4100009,4100004,51.9572658961,7.6341715756,51.957914,7.634779,83.3154532988754,2.31,180
4100009,4100006,51.9572658961,7.6341715756,51.9564909139,7.6335515756,96.185501869797,1.36,100
4100009,4100007,51.9572658961,7.6341715756,51.95629,7.6332982581,124.060983788922,1.73,130
4100009,4100008,51.9572658961,7.6341715756,51.956073,7.632989,155.612860784608,2.2,160
4100009,4106101,51.9572658961,7.6341715756,51.9593465494,7.635793,256.94011741729,3.72,300
4100009,4343101,51.9572658961,7.6341715756,51.9543447029,7.6314535637,374.852323041157,5.15,380
4100010,4100009,51.9575268071,7.6342509584,51.9572658961,7.6341715756,29.5505887917021,0.39,30
4100010,4100003,51.9575268071,7.6342509584,51.9575918902,7.6346748694,29.9692475765649,2.46,190
4100010,4100002,51.9575268071,7.6342509584,51.9573506884,7.6345832344,30.0657608798082,2.25,180
4100010,4100004,51.9575268071,7.6342509584,51.957914,7.634779,56.3022130219073,1.92,150
4100010,4100001,51.9575268071,7.6342509584,51.9566004896,7.6341548486,103.327759232119,1.46,120
4100010,4100006,51.9575268071,7.6342509584,51.9564909139,7.6335515756,124.897921949836,1.75,130
4100010,4100007,51.9575268071,7.6342509584,51.95629,7.6332982581,152.405468294642,2.13,160
4100010,4100008,51.9575268071,7.6342509584,51.956073,7.632989,183.537277734777,2.59,190
4100010,4106102,51.9575268071,7.6342509584,51.95917,7.634768,186.326375507763,2.51,190
4100010,4106101,51.9575268071,7.6342509584,51.9593465494,7.635793,228.529184278794,3.33,270
4100010,4105102,51.9575268071,7.6342509584,51.9609258132,7.6350607325,382.431369320864,5.22,380
4102101,4102102,51.9558705353,7.627781618,51.9558039925,7.6282736291,34.5565668043438,0.6,40
4102101,4102103,51.9558705353,7.627781618,51.9561982658,7.6267481451,79.7347155306462,1.1,80
4102101,4343202,51.9558705353,7.627781618,51.954968,7.628077,102.492986771794,1.68,130
4102101,4343201,51.9558705353,7.627781618,51.95477,7.62919,156.026811244624,2.72,200
4102101,4103202,51.9558705353,7.627781618,51.957846,7.626347,240.925724639431,3.7,280
4102101,4343101,51.9558705353,7.627781618,51.9543447029,7.6314535637,303.824129261003,5.15,390
4102101,4343102,51.9558705353,7.627781618,51.9544504086,7.6316500275,308.904872028919,5.89,440
4102101,4100008,51.9558705353,7.627781618,51.956073,7.632989,357.949738958541,6.09,450
4102101,4362101,51.9558705353,7.627781618,51.9528837899,7.6255323889,366.545994057784,5.26,430
4102101,4362102,51.9558705353,7.627781618,51.9528368357,7.6256719507,367.417766745098,4.77,430
4102101,4100007,51.9558705353,7.627781618,51.95629,7.6332982581,381.324204398667,6.56,480
4102101,4100006,51.9558705353,7.627781618,51.9564909139,7.6335515756,401.810990431684,6.93,510
4102101,4141102,51.9558705353,7.627781618,51.9552222817,7.621679507,424.798392221458,6.46,490
4102101,4100001,51.9558705353,7.627781618,51.9566004896,7.6341548486,444.703977559275,8.79,670
4102101,4141101,51.9558705353,7.627781618,51.9552851679,7.621243494,453.244333095473,6.96,530
4102102,4102101,51.9558039925,7.6282736291,51.9558705353,7.627781618,34.5565668043438,0.6,40
4102102,4343202,51.9558039925,7.6282736291,51.954968,7.628077,94.0348272689698,2.09,160
4102102,4102103,51.9558039925,7.6282736291,51.9561982658,7.6267481451,113.483002905062,1.7,130
4102102,4343201,51.9558039925,7.6282736291,51.95477,7.62919,131.152552924996,3.12,230
4102102,4103202,51.9558039925,7.6282736291,51.957846,7.626347,262.946536102898,4.3,320
4102102,4343101,51.9558039925,7.6282736291,51.9543447029,7.6314535637,271.994723025278,4.55,340
4102102,4343102,51.9558039925,7.6282736291,51.9544504086,7.6316500275,276.330863478274,5.29,390
4102102,4100008,51.9558039925,7.6282736291,51.956073,7.632989,324.869630941544,5.49,410
4102102,4100007,51.9558039925,7.6282736291,51.95629,7.6332982581,348.921507526564,5.96,440
4102102,4100006,51.9558039925,7.6282736291,51.9564909139,7.6335515756,370.065516863459,6.33,470
4102102,4362102,51.9558039925,7.6282736291,51.9528368357,7.6256719507,375.44336091424,5.12,450
4102102,4362101,51.9558039925,7.6282736291,51.9528837899,7.6255323889,375.555149225861,5.61,450
4102102,4100001,51.9558039925,7.6282736291,51.9566004896,7.6341548486,413.092089902542,7.01,540
4102102,4100009,51.9558039925,7.6282736291,51.9572658961,7.6341715756,436.110188620396,7.31,540
4102102,4100010,51.9558039925,7.6282736291,51.9575268071,7.6342509584,452.685861433117,7.7,570
4102103,4102101,51.9561982658,7.6267481451,51.9558705353,7.627781618,79.7347155306462,1.1,80
4102103,4102102,51.9561982658,7.6267481451,51.9558039925,7.6282736291,113.483002905062,1.7,130
4102103,4343202,51.9561982658,7.6267481451,51.954968,7.628077,164.51991097607,2.58,190
4102103,4103202,51.9561982658,7.6267481451,51.957846,7.626347,185.477751907392,2.6,190
4102103,4343201,51.9561982658,7.6267481451,51.95477,7.62919,230.958257073274,3.62,270
4102103,4141102,51.9561982658,7.6267481451,51.9552222817,7.621679507,364.30135054194,6.01,450
4102103,4362101,51.9561982658,7.6267481451,51.9528837899,7.6255323889,378.275558206395,5.52,440
4102103,4362102,51.9561982658,7.6267481451,51.9528368357,7.6256719507,381.407047543694,5.03,450
4102103,4343101,51.9561982658,7.6267481451,51.9543447029,7.6314535637,383.119574678669,6.25,470
4102103,4343102,51.9561982658,7.6267481451,51.9544504086,7.6316500275,388.517924459004,6.99,520
4102103,4141101,51.9561982658,7.6267481451,51.9552851679,7.621243494,391.075290341144,6.22,470
4102103,4100008,51.9561982658,7.6267481451,51.956073,7.632989,428.363772588587,7.67,570
4102103,4140102,51.9561982658,7.6267481451,51.9581904505,7.6213027174,434.42884627252,6.68,500
4102103,4100007,51.9561982658,7.6267481451,51.95629,7.6332982581,449.467481193628,8.14,610
4102103,4100006,51.9561982658,7.6267481451,51.9564909139,7.6335515756,467.864089827926,8.87,660
4103202,4102103,51.957846,7.626347,51.9561982658,7.6267481451,185.477751907392,2.6,190
4103202,4102101,51.957846,7.626347,51.9558705353,7.627781618,240.925724639431,3.7,280
4103202,4102102,51.957846,7.626347,51.9558039925,7.6282736291,262.946536102898,4.3,320
4103202,4192302,51.957846,7.626347,51.9604094014,7.6261120514,285.811317993671,3.87,290
4103202,4194002,51.957846,7.626347,51.9601842467,7.6237793969,314.284350113214,6.18,460
4103202,4343202,51.957846,7.626347,51.954968,7.628077,341.653280069816,5.18,390
4103202,4140102,51.957846,7.626347,51.9581904505,7.6213027174,348.152619103509,6.72,500
4103202,4343201,51.957846,7.626347,51.95477,7.62919,394.067809400444,6.21,470
4103202,4194004,51.957846,7.626347,51.9609200643,7.6228893337,416.36586500208,7.41,560
4103202,4194001,51.957846,7.626347,51.961012634,7.6229757097,421.596565808508,7.26,540
4103202,4141102,51.957846,7.626347,51.9552222817,7.621679507,433.395937591389,7.59,570
4103202,4141101,51.957846,7.626347,51.9552851679,7.621243494,451.487867300715,7.8,580
4103202,4100008,51.957846,7.626347,51.956073,7.632989,496.557800095646,8.37,640
4103202,4100007,51.957846,7.626347,51.95629,7.6332982581,507.346274391823,9.77,730
4103202,4146101,51.957846,7.626347,51.9574665804,7.6189128819,511.726045046014,9.21,710
4104801,4104802,51.9641281082,7.6303036605,51.9638477835,7.6307323246,42.8751390178741,0.53,100
4104801,4134101,51.9641281082,7.6303036605,51.9651225072,7.6289834927,143.013236618916,2.6,200
4104801,4110601,51.9641281082,7.6303036605,51.9655670021,7.6327318717,231.073628055993,3.7,290
4104801,4129102,51.9641281082,7.6303036605,51.9652405927,7.6269760144,259.673593755933,2.47,280
4104801,4196201,51.9641281082,7.6303036605,51.9667184307,7.6314029663,298.048180359484,4.42,340
4104801,4110504,51.9641281082,7.6303036605,51.9659436133,7.6340479145,326.799512773547,4.78,370
4104801,4110503,51.9641281082,7.6303036605,51.9661138021,7.6344312877,359.181780346013,5.36,410
4104801,4110501,51.9641281082,7.6303036605,51.9657146285,7.6350203156,368.578208931784,5.26,400
4104801,4110502,51.9641281082,7.6303036605,51.9658210584,7.6349676852,371.284624162748,5.27,400
4104801,4112102,51.9641281082,7.6303036605,51.9677081863,7.6298854044,399.563608810083,6.17,470
4104801,4105101,51.9641281082,7.6303036605,51.9617413301,7.6355141661,445.339531140181,6.74,560
4104801,4105102,51.9641281082,7.6303036605,51.9609258132,7.6350607325,483.267762553674,6.99,580
4104801,4192302,51.9641281082,7.6303036605,51.9604094014,7.6261120514,504.015122166694,7.73,590
4104802,4104801,51.9638477835,7.6307323246,51.9641281082,7.6303036605,42.8751390178741,0.53,100
4104802,4134101,51.9638477835,7.6307323246,51.9651225072,7.6289834927,185.807477199021,2.73,250
4104802,4129102,51.9638477835,7.6307323246,51.9652405927,7.6269760144,300.698264968797,2.6,320
4104802,4105101,51.9638477835,7.6307323246,51.9617413301,7.6355141661,403.195837210131,6.63,520
4104802,4105102,51.9638477835,7.6307323246,51.9609258132,7.6350607325,440.397497549967,6.88,530
4104802,4192302,51.9638477835,7.6307323246,51.9604094014,7.6261120514,496.932532169208,7.7,600
4105101,4105102,51.9617413301,7.6355141661,51.9609258132,7.6350607325,95.963190636438,2.24,170
4105101,4106101,51.9617413301,7.6355141661,51.9593465494,7.635793,267.27103188856,4.58,370
4105101,4106102,51.9617413301,7.6355141661,51.95917,7.634768,290.779351488592,4.98,370
4105101,4319102,51.9617413301,7.6355141661,51.9590226175,7.6371575466,322.958564336534,5.62,420
4105101,4104802,51.9617413301,7.6355141661,51.9638477835,7.6307323246,403.195837210131,6.63,520
4105101,4241101,51.9617413301,7.6355141661,51.9616720587,7.6414670383,408.402541194303,5.77,440
4105101,4241102,51.9617413301,7.6355141661,51.9617899591,7.641638422,420.119907858737,5.93,450
4105101,4100004,51.9617413301,7.6355141661,51.957914,7.634779,429.030608732894,6.97,520
4105101,4110501,51.9617413301,7.6355141661,51.9657146285,7.6350203156,443.600743019328,7.59,570
4105101,4104801,51.9617413301,7.6355141661,51.9641281082,7.6303036605,445.339531140181,6.74,560
4105101,4110502,51.9617413301,7.6355141661,51.9658210584,7.6349676852,455.697494548573,7.6,570
4105101,4100003,51.9617413301,7.6355141661,51.9575918902,7.6346748694,465.48767866694,7.51,560
4105101,4110601,51.9617413301,7.6355141661,51.9655670021,7.6327318717,466.676140873567,8.17,640
4105101,4100010,51.9617413301,7.6355141661,51.9575268071,7.6342509584,477.09364110121,7.49,550
4105101,4110504,51.9617413301,7.6355141661,51.9659436133,7.6340479145,478.48471654193,7.82,610
4105102,4105101,51.9609258132,7.6350607325,51.9617413301,7.6355141661,95.963190636438,2.24,170
4105102,4106101,51.9609258132,7.6350607325,51.9593465494,7.635793,182.838083350774,2.61,220
4105102,4106102,51.9609258132,7.6350607325,51.95917,7.634768,196.485010033145,2.71,200
4105102,4319102,51.9609258132,7.6350607325,51.9590226175,7.6371575466,256.074242327559,4.16,310
